Name	"node.degree"	"node.betw"	"node.stress"	"node.evcent"	"Clustering.Coefficient"	No. module	Zi	Pi
OTU_43	5	104.362006414638	423	0.0189915297649734	0.4	1	0.455606525869105	0
OTU_10	10	227.038874781423	4545	0.117829141599774	0.377777777777778	0	0.971060761117723	0
OTU_160	1	0	0	1.04477995894198e-189	0	8	0	0
OTU_654	5	5.09289044289044	24	0.0265963838557803	0.7	0	-0.295540231644524	0
OTU_227	4	33.4123268028841	137	0.0243492111508018	0.5	1	0.127889551121152	0
OTU_6519	1	0	0	0.0133786371121449	0	0	-1.30882102585432	0
OTU_154	5	124.263009200818	606	0.0166335739363664	0.4	1	0.127889551121152	0.32
OTU_4	15	633.721542321139	4706	0.10630376765946	0.40952380952381	2	1.98169400037218	0.124444444444444
OTU_3	2	0	0	5.42480769867457e-156	1	7	0	0
OTU_31	9	241.587085698944	3458	0.177860290043254	0.444444444444444	0	0.717740562565273	0
OTU_51	3	0	0	0.00545129195193543	1	5	-0.328102492449542	0
OTU_2	3	0	0	0.0518756331480016	1	1	-0.527544398374754	0.444444444444444
OTU_79	7	140.967458455968	1196	0.0198635112260222	0.428571428571429	1	1.11104047536501	0
OTU_1	6	34.182319673141	1060	0.0720324360470757	0.4	0	-0.042220033092075	0
OTU_1208	1	0	0	0.0307306582434684	0	0	-1.30882102585432	0
OTU_2109	4	24.5677655677656	86	0.0264648859636701	0.666666666666667	2	-0.442718872423573	0
OTU_8697	2	0	0	5.42480769867457e-156	1	7	0	0
OTU_416	2	39.0753986868894	367	0.00780050578873755	0	1	-0.527544398374754	0
OTU_3033	1	0	0	0.000412973598976324	0	1	-0.855261373122707	0
OTU_5	2	1	1	1.04477995894198e-189	0	10	0	0
OTU_40	15	1911.17002189986	19918	0.204684888767975	0.20952380952381	2	-0.442718872423573	0.64
OTU_20	16	938.844075429774	10003	0.285865467863912	0.316666666666667	0	0.717740562565273	0.5390625
OTU_171	3	0	0	0.0275234609024066	1	5	-0.775514982153462	0.444444444444444
OTU_192	1	0	0	0.0039981912934247	0	1	-0.855261373122707	0
OTU_1636	9	583.966432173149	3423	0.13089231104841	0.25	0	0.464420364012824	0.197530864197531
OTU_359	1	0	0	0.00134499240491651	0	5	-1.22292747185738	0
OTU_106	7	234.127350478545	4201	0.0799151677342847	0.476190476190476	0	0.211100165460374	0
OTU_599	1	0	0	2.01217300822202e-223	0	12	0	0
OTU_301	4	289.309398785358	1001	0.020709483300735	0	1	0.127889551121152	0
OTU_28	18	1708.23363493167	10787	0.300658941845834	0.261437908496732	0	1.47770115822262	0.475308641975309
OTU_12	4	9.81289342793949	175	0.0859292015599535	0.833333333333333	0	-0.802180628749423	0.375
OTU_746	6	37.5804239888825	1091	0.0918486864992061	0.6	0	-0.042220033092075	0
OTU_484	5	104.822255324655	390	0.0253341072476452	0.1	1	0.127889551121152	0.32
OTU_1563	8	162.100087249264	2220	0.062831853822303	0.535714285714286	2	0.52704627669473	0
OTU_7675	3	121	1727	0.0174700361275315	0.333333333333333	2	-0.685160159703149	0
OTU_1959	12	85.7727215149718	1129	0.0951680572679466	0.575757575757576	2	1.49681142581303	0
OTU_4396	1	0	0	0.0105252972922382	0	2	-1.1700427342623	0
OTU_3659	8	78.6298559945127	1968	0.091567475246736	0.857142857142857	2	0.52704627669473	0
OTU_6086	1	0	0	0.000448852511388907	0	2	-1.1700427342623	0
OTU_170	10	400.650006096954	3280	0.210648161779271	0.488888888888889	0	0.717740562565273	0.18
OTU_7843	4	0.25	1	0.0323567111832091	0.833333333333333	0	-0.548860430196974	0
OTU_407	3	357	771	0.0314673011465228	0.333333333333333	0	-0.802180628749423	0
OTU_603	6	55.3555944055944	221	0.0180871875080998	0.466666666666667	1	0.783323500617058	0
OTU_9009	2	0	0	5.42480769867457e-156	1	7	0	0
OTU_46	10	168.837625832301	3369	0.224653513558241	0.6	0	0.717740562565273	0.18
OTU_846	8	52.5015833850419	1156	0.101427184281204	0.428571428571429	0	0.464420364012824	0
OTU_374	2	0	0	0.00470534154955364	1	5	-0.775514982153462	0
OTU_271	5	56.2949106449107	130	0.0259927232988756	0.5	0	-0.548860430196974	0.32
OTU_14651	18	1674.93280005112	7352	0.0734900888690573	0.130718954248366	1	3.40505929860068	0.364197530864197
OTU_9316	5	16.3978579901198	447	0.0512594174641654	0.6	0	-0.295540231644524	0
OTU_5847	3	121	594	0.00638381877139673	0.333333333333333	1	-0.199827423626801	0
OTU_1133	3	7.62452074069721	56	0.0520320422998775	0	0	-0.802180628749423	0
OTU_12964	1	0	0	0.00065249665209473	0	1	-0.855261373122707	0
OTU_15344	1	0	0	1.04477995894198e-189	0	10	0	0
OTU_1529	2	121	550	0.0129000462571221	0	1	-0.527544398374754	0
OTU_622	2	1.16666666666667	3	0.00282756750041985	0	1	-0.527544398374754	0
OTU_178	3	95.6444560066221	1300	0.0400487324979559	0.333333333333333	1	-0.527544398374754	0.444444444444444
OTU_347	9	336.100233546284	1744	0.0312322631776187	0.361111111111111	1	1.76647442486092	0
OTU_748	3	0	0	0.0229300919176894	1	0	-0.802180628749423	0
OTU_3452	12	591.401774608661	2912	0.124891404095918	0.212121212121212	1	1.76647442486092	0.375
OTU_729	10	196.763582063924	889	0.0890962009469197	0.666666666666667	2	0.769487563974306	0.18
