Name	"node.degree"	"node.betw"	"node.stress"	"node.evcent"	"Clustering.Coefficient"	No. module	Zi	Pi
OTU_1947	1	0	0	0.0609547190270317	0	4	-0.555707611545417	0
OTU_10	2	336.142002867834	1099	0.0395415829805685	0	8	-0.301511344577764	0.5
OTU_26	1	0	0	0.0115422530419397	0	2	-0.310298710515206	0
OTU_654	3	37.4094211344211	193	0.11830802522269	0.666666666666667	4	-0.0292477690287062	0
OTU_227	1	0	0	0.0115422530419397	0	2	-0.310298710515206	0
OTU_4	2	233	796	0.0134401274086551	0	6	0	0
OTU_31	1	0	0	0.00557598041972009	0	2	-0.310298710515206	0
OTU_51	1	0	0	0.0115422530419397	0	2	-0.310298710515206	0
OTU_543	2	171.000935493815	529	0.00813132971612447	0	5	-0.110807528272968	0
OTU_100	1	0	0	0.00557598041972009	0	2	-0.310298710515206	0
OTU_1208	1	0	0	0.00214427789309409	0	9	-0.784213926242346	0
OTU_110	1	0	0	0.0241495006332756	0	7	-0.472181262989896	0
OTU_416	1	0	0	0.0177135320721241	0	7	-0.472181262989896	0
OTU_3033	3	465	1607	0.00194284407624416	0	9	0.206372085853249	0
OTU_922	2	268.138819601451	687	0.0297254810529957	0	2	-0.310298710515206	0.5
OTU_354	4	1444.9122622528	6594	0.107641957165802	0	6	-0.554700196225229	0.75
OTU_129	1	0	0	0.0609547190270317	0	4	-0.555707611545417	0
OTU_2313	11	1764.34152064654	4615	0.0162229711377022	0	5	2.99180326337013	0.446280991735537
OTU_40	1	0	0	0.0241495006332756	0	7	-0.472181262989896	0
OTU_171	3	227.452458306262	1139	0.0871303898743448	0	4	-0.292477690287062	0.444444444444444
OTU_5372	1	0	0	0.0026319918993464	0	1	-0.476191971761231	0
OTU_2118	3	364.377597615513	1116	0.00159738403942265	0	0	0.382378578841259	0
OTU_192	1	0	0	0.0547979731287844	0	4	-0.555707611545417	0
OTU_1636	1	0	0	0.0153920823472929	0	8	-0.301511344577764	0
OTU_106	3	26.3035788428977	219	0.0558137007055399	0.666666666666667	7	-0.14528654245843	0.444444444444444
OTU_599	1	0	0	0.0139506680001402	0	5	-0.62790932688015	0
OTU_301	1	0	0	0.00103688261060034	0	9	-0.784213926242346	0
OTU_28	2	149.650113775114	487	0.0292815351693624	0	4	-0.555707611545417	0.5
OTU_746	1	0	0	7.38235046176459e-126	0	10	0	0
OTU_484	2	693	1410	0.0117947568459953	0	2	-0.0172388172508447	0
OTU_7675	1	0	0	0.0115422530419397	0	2	-0.310298710515206	0
OTU_8175	1	0	0	0.00117068453409105	0	5	-0.62790932688015	0
OTU_1959	1	0	0	0.00194534138889384	0	6	-0.554700196225229	0
OTU_12794	2	136.084664312296	539	0.0171182334616598	0	2	-0.0172388172508447	0
OTU_9209	4	1207.40338230193	3051	0.0412834691265073	0	1	-0.476191971761231	0.75
OTU_4396	1	0	0	0.0115422530419397	0	2	-0.310298710515206	0
OTU_10617	1	0	0	0.0110658160715856	0	1	-0.476191971761231	0
OTU_7843	2	0	0	0.115752692155816	1	4	-0.292477690287062	0
OTU_705	1	0	0	0.0153920823472929	0	8	-0.301511344577764	0
OTU_407	1	0	0	0.000157738940030456	0	0	-0.581880446062786	0
OTU_1315	1	0	0	0.0115422530419397	0	2	-0.310298710515206	0
OTU_3258	2	170.008444512477	684	0.0226080691135253	0	1	-0.476191971761231	0.5
OTU_358	2	0	0	0.0335475846282191	1	7	-0.14528654245843	0
OTU_870	2	0	0	0.0418630327053997	1	7	-0.14528654245843	0
OTU_774	1	0	0	0.0153920823472929	0	8	-0.301511344577764	0
OTU_2462	1	0	0	0.0115422530419397	0	2	-0.310298710515206	0
OTU_414	2	392.035472256971	1079	0.06586378920037	0	1	-0.476191971761231	0.5
OTU_4324	1	0	0	0.0241495006332756	0	7	-0.472181262989896	0
OTU_846	1	0	0	7.38235046176459e-126	0	10	0	0
OTU_271	2	264.948412441961	624	0.033105614419417	0	8	-0.301511344577764	0.5
OTU_2289	3	898.063658249076	2641	0.0257063779014339	0	5	-0.62790932688015	0.666666666666667
OTU_6571	1	0	0	0.000157738940030456	0	0	-0.581880446062786	0
OTU_14651	1	0	0	0.0609547190270317	0	4	-0.555707611545417	0
OTU_9610	2	197.696320138941	1480	0.01437171214146	0	6	0	0
OTU_5847	2	24.9229399255715	182	0.00381210036582839	0	9	-0.288920920194549	0
OTU_1529	1	0	0	0.0153920823472929	0	8	-0.301511344577764	0
OTU_622	1	0	0	0.0110658160715856	0	1	-0.476191971761231	0
OTU_178	2	432.601731601732	817	0.0356917536752153	0	2	-0.310298710515206	0.5
OTU_347	2	134.15392047566	447	0.000388946367718937	0	0	-0.0997509336107633	0
OTU_1273	2	24.8392131624315	135	0.00300013847416493	0	9	-0.288920920194549	0
OTU_748	1	0	0	0.0609547190270317	0	4	-0.555707611545417	0
OTU_3452	1	0	0	0.000157738940030456	0	0	-0.581880446062786	0
OTU_3422	1	0	0	0.00117068453409105	0	5	-0.62790932688015	0
OTU_3341	7	1192.31922077325	3123	0.0271099002347762	0	3	2.42582262018792	0.448979591836735
OTU_2206	3	154.478494170661	900	0.00711643323095831	0	9	0.206372085853249	0
OTU_2711	1	0	0	0.0026319918993464	0	1	-0.476191971761231	0
OTU_7826	4	418.960339115035	2782	0.0180075391615097	0	9	0.206372085853249	0.375
OTU_5548	1	0	0	0.00470059809073458	0	3	-0.80860754006264	0
OTU_5193	1	0	0	0.00093511423372731	0	5	-0.62790932688015	0
OTU_9344	1	0	0	0.00939808399494345	0	7	-0.472181262989896	0
OTU_4102	2	212.078239538239	460	0.0232895124918442	0	2	-0.310298710515206	0.5
OTU_2064	1	0	0	0.00109593203798437	0	0	-0.581880446062786	0
OTU_11826	3	233	534	0.0213691182716252	0.333333333333333	0	-0.0997509336107633	0.444444444444444
OTU_5382	4	750.628678295116	3180	0.0114063633902971	0	5	-0.110807528272968	0.625
OTU_895	1	0	0	0.00354856977646738	0	1	-0.476191971761231	0
OTU_474	2	238.802517511728	632	0.0212621018485915	0	1	-0.476191971761231	0.5
OTU_1114	3	430.296423909158	1198	0.0125310555844158	0	2	0.275821076013517	0
OTU_3896	1	0	0	0.000157738940030456	0	0	-0.581880446062786	0
OTU_16	4	664.381240280053	1542	0.152096107163724	0.5	4	-0.0292477690287062	0.375
OTU_2588	4	311.673676661648	2217	0.00381680115177262	0	9	0.206372085853249	0.375
OTU_1342	1	0	0	0.00354856977646738	0	1	-0.476191971761231	0
OTU_13909	5	20.7857864357864	99	0.218616379346666	0.8	4	0.497212073488005	0
OTU_3081	22	3565.48762738447	12695	0.42112875135528	0.0649350649350649	4	3.65597112858827	0.388429752066116
OTU_2317	1	0	0	0.00121315595637899	0	6	-0.554700196225229	0
OTU_817	2	233	994	0.0402067598042254	0	4	-0.292477690287062	0
OTU_1031	1	0	0	0.0547979731287844	0	4	-0.555707611545417	0
OTU_749	2	353.691340908833	999	0.0187345366048011	0	6	-0.554700196225229	0.5
OTU_14539	1	0	0	0.000281209759368322	0	9	-0.784213926242346	0
OTU_56	1	0	0	0.0115422530419397	0	2	-0.310298710515206	0
OTU_858	2	136.084664312296	539	0.0171182334616598	0	2	-0.0172388172508447	0
OTU_497	1	0	0	0.013158556185081	0	6	-0.554700196225229	0
OTU_4806	1	0	0	0.0115422530419397	0	2	-0.310298710515206	0
OTU_44	2	170.008444512477	684	0.0226080691135253	0	1	-0.476191971761231	0.5
OTU_731	1	0	0	0.0214962154415111	0	4	-0.555707611545417	0
OTU_2175	3	895.181191022151	3911	0.038403988856341	0	0	-0.581880446062786	0.666666666666667
OTU_2071	1	0	0	0.00330433286512992	0	9	-0.784213926242346	0
OTU_1930	2	198.2059557727	745	0.0725115052009085	0	7	-0.472181262989896	0.5
OTU_1074	5	1723.07638439421	6478	0.00494023920151605	0	0	0.382378578841259	0.56
OTU_730	1	0	0	0.0026319918993464	0	1	-0.476191971761231	0
OTU_2316	1	0	0	0.0547979731287844	0	4	-0.555707611545417	0
OTU_849	2	464	942	0.00174451811721674	0	2	-0.0172388172508447	0
OTU_561	1	0	0	0.0547979731287844	0	4	-0.555707611545417	0
