SampleID,Replicate,Treatment,Date,Type
G5R1MAIN05JUN2017LD1iTag,1,MAIN,6/5/2017,Leaf
G5R1MAIN05JUN2017SD1iTag,1,MAIN,6/5/2017,Soil
G5R1MAIN07AUG2017LD1iTag,1,MAIN,8/7/2017,Leaf
G5R1MAIN07AUG2017SD1iTag,1,MAIN,8/7/2017,Soil
G5R1MAIN15MAY2017LD1iTag,1,MAIN,5/15/2017,Leaf
G5R1MAIN15MAY2017SD1iTag,1,MAIN,5/15/2017,Soil
G5R1MAIN17JUL2017LD1iTag,1,MAIN,7/17/2017,Leaf
G5R1MAIN17JUL2017SD1iTag,1,MAIN,7/17/2017,Soil
G5R1MAIN18SEP2017LD1iTag,1,MAIN,9/18/2017,Leaf
G5R1MAIN18SEP2017SD1iTag,1,MAIN,9/18/2017,Soil
G5R1MAIN24APR2017SD1iTag,1,MAIN,4/24/2017,Soil
G5R1MAIN26JUN2017LD1iTag,1,MAIN,6/26/2017,Leaf
G5R1MAIN26JUN2017SD1iTag,1,MAIN,6/26/2017,Soil
G5R1MAIN28AUG2017LD1iTag,1,MAIN,8/28/2017,Leaf
G5R1MAIN28AUG2017SD1iTag,1,MAIN,8/28/2017,Soil
G5R1NF05JUN2017LD1iTag,1,NF,6/5/2017,Leaf
G5R1NF05JUN2017SD1iTag,1,NF,6/5/2017,Soil
G5R1NF07AUG2017LD1iTag,1,NF,8/7/2017,Leaf
G5R1NF07AUG2017SD1iTag,1,NF,8/7/2017,Soil
G5R1NF15MAY2017LD1iTag,1,NF,5/15/2017,Leaf
G5R1NF15MAY2017SD1iTag,1,NF,5/15/2017,Soil
G5R1NF17JUL2017LD1iTag,1,NF,7/17/2017,Leaf
G5R1NF17JUL2017SD1iTag,1,NF,7/17/2017,Soil
G5R1NF18SEP2017LD1iTag,1,NF,9/18/2017,Leaf
G5R1NF18SEP2017SD1iTag,1,NF,9/18/2017,Soil
G5R1NF24APR2017SD1iTag,1,NF,4/24/2017,Soil
G5R1NF26JUN2017LD1iTag,1,NF,6/26/2017,Leaf
G5R1NF26JUN2017SD1iTag,1,NF,6/26/2017,Soil
G5R1NF28AUG2017LD1iTag,1,NF,8/28/2017,Leaf
G5R1NF28AUG2017SD1iTag,1,NF,8/28/2017,Soil
G5R2MAIN05JUN2017LD1iTag,2,MAIN,6/5/2017,Leaf
G5R2MAIN05JUN2017SD1iTag,2,MAIN,6/5/2017,Soil
G5R2MAIN07AUG2017LD1iTag,2,MAIN,8/7/2017,Leaf
G5R2MAIN07AUG2017SD1iTag,2,MAIN,8/7/2017,Soil
G5R2MAIN15MAY2017LD1iTag,2,MAIN,5/15/2017,Leaf
G5R2MAIN15MAY2017SD1iTag,2,MAIN,5/15/2017,Soil
G5R2MAIN17JUL2017LD1iTag,2,MAIN,7/17/2017,Leaf
G5R2MAIN17JUL2017SD1iTag,2,MAIN,7/17/2017,Soil
G5R2MAIN18SEP2017SD1iTag,2,MAIN,9/18/2017,Soil
G5R2MAIN24APR2017SD1iTag,2,MAIN,4/24/2017,Soil
G5R2MAIN26JUN2017LD1iTag,2,MAIN,6/26/2017,Leaf
G5R2MAIN26JUN2017SD1iTag,2,MAIN,6/26/2017,Soil
G5R2MAIN28AUG2017LD1iTag,2,MAIN,8/28/2017,Leaf
G5R2MAIN28AUG2017SD1iTag,2,MAIN,8/28/2017,Soil
G5R2NF05JUN2017LD1iTag,2,NF,6/5/2017,Leaf
G5R2NF05JUN2017SD1iTag,2,NF,6/5/2017,Soil
G5R2NF07AUG2017LD1iTag,2,NF,8/7/2017,Leaf
G5R2NF07AUG2017SD1iTag,2,NF,8/7/2017,Soil
G5R2NF15MAY2017LD1iTag,2,NF,5/15/2017,Leaf
G5R2NF15MAY2017SD1iTag,2,NF,5/15/2017,Soil
G5R2NF17JUL2017LD1iTag,2,NF,7/17/2017,Leaf
G5R2NF17JUL2017SD1iTag,2,NF,7/17/2017,Soil
G5R2NF18SEP2017LD1iTag,2,NF,9/18/2017,Leaf
G5R2NF18SEP2017SD1iTag,2,NF,9/18/2017,Soil
