SampleID,Replicate,Treatment,Date,Type
G5R2NF24APR2017SD1iTag,2,NF,4/24/2017,Soil
G5R2NF26JUN2017LD1iTag,2,NF,6/26/2017,Leaf
G5R2NF26JUN2017SD1iTag,2,NF,6/26/2017,Soil
G5R2NF28AUG2017LD1iTag,2,NF,8/28/2017,Leaf
G5R2NF28AUG2017SD1iTag,2,NF,8/28/2017,Soil
G5R3MAIN05JUN2017LD1iTag,3,MAIN,6/5/2017,Leaf
G5R3MAIN07AUG2017LD1iTag,3,MAIN,8/7/2017,Leaf
G5R3MAIN07AUG2017SD1iTag,3,MAIN,8/7/2017,Soil
G5R3MAIN15MAY2017LD1iTag,3,MAIN,5/15/2017,Leaf
G5R3MAIN17JUL2017LD1iTag,3,MAIN,7/17/2017,Leaf
G5R3MAIN17JUL2017SD1iTag,3,MAIN,7/17/2017,Soil
G5R3MAIN18SEP2017SD1iTag,3,MAIN,9/18/2017,Soil
G5R3MAIN24APR2017SD1iTag,3,MAIN,4/24/2017,Soil
G5R3MAIN26JUN2017LD1iTag,3,MAIN,6/26/2017,Leaf
G5R3MAIN28AUG2017LD1iTag,3,MAIN,8/28/2017,Leaf
G5R3MAIN28AUG2017SD1iTag,3,MAIN,8/28/2017,Soil
G5R3NF05JUN2017LD1iTag,3,NF,6/5/2017,Leaf
G5R3NF05JUN2017SD1iTag,3,NF,6/5/2017,Soil
G5R3NF07AUG2017LD1iTag,3,NF,8/7/2017,Leaf
G5R3NF07AUG2017SD1iTag,3,NF,8/7/2017,Soil
G5R3NF15MAY2017LD1iTag,3,NF,5/15/2017,Leaf
G5R3NF15MAY2017SD1iTag,3,NF,5/15/2017,Soil
G5R3NF17JUL2017LD1iTag,3,NF,7/17/2017,Leaf
G5R3NF17JUL2017SD1iTag,3,NF,7/17/2017,Soil
G5R3NF18SEP2017LD1iTag,3,NF,9/18/2017,Leaf
G5R3NF18SEP2017SD1iTag,3,NF,9/18/2017,Soil
G5R3NF24APR2017SD1iTag,3,NF,4/24/2017,Soil
G5R3NF26JUN2017LD1iTag,3,NF,6/26/2017,Leaf
G5R3NF26JUN2017SD1iTag,3,NF,6/26/2017,Soil
G5R3NF28AUG2017LD1iTag,3,NF,8/28/2017,Leaf
G5R3NF28AUG2017SD1iTag,3,NF,8/28/2017,Soil
G5R4MAIN05JUN2017LD1iTag,4,MAIN,6/5/2017,Leaf
G5R4MAIN07AUG2017LD1iTag,4,MAIN,8/7/2017,Leaf
G5R4MAIN07AUG2017SD1iTag,4,MAIN,8/7/2017,Soil
G5R4MAIN15MAY2017LD1iTag,4,MAIN,5/15/2017,Leaf
G5R4MAIN17JUL2017LD1iTag,4,MAIN,7/17/2017,Leaf
G5R4MAIN17JUL2017SD1iTag,4,MAIN,7/17/2017,Soil
G5R4MAIN18SEP2017SD1iTag,4,MAIN,9/18/2017,Soil
G5R4MAIN26JUN2017LD1iTag,4,MAIN,6/26/2017,Leaf
G5R4MAIN26JUN2017SD1iTag,4,MAIN,6/26/2017,Soil
G5R4MAIN28AUG2017LD1iTag,4,MAIN,8/28/2017,Leaf
G5R4MAIN28AUG2017SD1iTag,4,MAIN,8/28/2017,Soil
G5R4NF05JUN2017LD1iTag,4,NF,6/5/2017,Leaf
G5R4NF05JUN2017SD1iTag,4,NF,6/5/2017,Soil
G5R4NF07AUG2017LD1iTag,4,NF,8/7/2017,Leaf
G5R4NF07AUG2017SD1iTag,4,NF,8/7/2017,Soil
G5R4NF15MAY2017LD1iTag,4,NF,5/15/2017,Leaf
G5R4NF15MAY2017SD1iTag,4,NF,5/15/2017,Soil
G5R4NF17JUL2017LD1iTag,4,NF,7/17/2017,Leaf
G5R4NF17JUL2017SD1iTag,4,NF,7/17/2017,Soil
G5R4NF18SEP2017SD1iTag,4,NF,9/18/2017,Soil
G5R4NF24APR2017SD1iTag,4,NF,4/24/2017,Soil
G5R4NF26JUN2017LD1iTag,4,NF,6/26/2017,Leaf
G5R4NF26JUN2017SD1iTag,4,NF,6/26/2017,Soil
G5R4NF28AUG2017LD1iTag,4,NF,8/28/2017,Leaf
